Date,Temperature,Humidity,Precipitation,Location
2025-01-28,13.1,52.9,9.11,Houston
2025-01-29,13.1,54.6,9.13,Houston
2025-01-30,13.1,54.7,9.15,Houston
2025-01-31,13.1,54.7,9.16,Houston
2025-02-01,13.1,54.7,9.17,Houston
2025-02-02,13.1,54.7,9.18,Houston
2025-02-03,13.1,54.7,9.19,Houston
2025-02-04,13.1,54.7,9.2,Houston
2025-02-05,13.1,54.7,9.21,Houston
2025-02-06,13.1,54.7,9.22,Houston
2025-02-07,13.1,54.7,9.22,Houston
2025-02-08,13.1,54.7,9.23,Houston
2025-02-09,13.1,54.7,9.24,Houston
2025-02-10,13.1,54.7,9.24,Houston
2025-02-11,13.1,54.7,9.25,Houston
2025-02-12,13.1,54.7,9.25,Houston
2025-02-13,13.1,54.7,9.25,Houston
2025-02-14,13.1,54.7,9.26,Houston
2025-02-15,13.1,54.7,9.26,Houston
2025-02-16,13.1,54.7,9.26,Houston
2025-02-17,13.1,54.7,9.27,Houston
2025-02-18,13.1,54.7,9.27,Houston
2025-02-19,13.1,54.7,9.27,Houston
2025-02-20,13.1,54.7,9.27,Houston
2025-02-21,13.1,54.7,9.27,Houston
2025-02-22,13.1,54.7,9.28,Houston
2025-02-23,13.1,54.7,9.28,Houston
2025-02-24,13.1,54.7,9.28,Houston
2025-02-25,13.1,54.7,9.28,Houston
2025-02-26,13.1,54.7,9.28,Houston
2025-02-01,13.6,55.2,10.11,Miami
2025-02-02,13.8,55.5,10.11,Miami
2025-02-03,14,55.5,10.11,Miami
2025-02-04,13.6,55.5,10.11,Miami
2025-02-05,13.9,55.5,10.11,Miami
2025-02-06,13.9,55.5,10.11,Miami
2025-02-07,13.6,55.5,10.11,Miami
2025-02-08,13.9,55.5,10.11,Miami
2025-02-09,13.8,55.5,10.11,Miami
2025-02-10,13.7,55.5,10.11,Miami
2025-02-11,13.9,55.5,10.11,Miami
2025-02-12,13.7,55.5,10.11,Miami
2025-02-13,13.7,55.5,10.11,Miami
2025-02-14,13.9,55.5,10.11,Miami
2025-02-15,13.7,55.5,10.11,Miami
2025-02-16,13.8,55.5,10.11,Miami
2025-02-17,13.9,55.5,10.11,Miami
2025-02-18,13.7,55.5,10.11,Miami
2025-02-19,13.8,55.5,10.11,Miami
2025-02-20,13.8,55.5,10.11,Miami
2025-02-21,13.7,55.5,10.11,Miami
2025-02-22,13.9,55.5,10.11,Miami
2025-02-23,13.8,55.5,10.11,Miami
2025-02-24,13.7,55.5,10.11,Miami
2025-02-25,13.9,55.5,10.11,Miami
2025-02-26,13.7,55.5,10.11,Miami
2025-02-27,13.8,55.5,10.11,Miami
2025-02-28,13.8,55.5,10.11,Miami
2025-03-01,13.7,55.5,10.11,Miami
2025-03-02,13.8,55.5,10.11,Miami
2025-02-08,11.8,53.4,9.31,Chicago
2025-02-09,11.8,53.8,9.31,Chicago
2025-02-10,11.8,53.8,9.32,Chicago
2025-02-11,11.8,53.8,9.32,Chicago
2025-02-12,11.8,53.8,9.32,Chicago
2025-02-13,11.8,53.8,9.32,Chicago
2025-02-14,11.8,53.8,9.32,Chicago
2025-02-15,11.8,53.8,9.33,Chicago
2025-02-16,11.8,53.8,9.33,Chicago
2025-02-17,11.8,53.8,9.33,Chicago
2025-02-18,11.8,53.8,9.33,Chicago
2025-02-19,11.8,53.8,9.33,Chicago
2025-02-20,11.8,53.8,9.33,Chicago
2025-02-21,11.8,53.8,9.33,Chicago
2025-02-22,11.8,53.8,9.33,Chicago
2025-02-23,11.8,53.8,9.33,Chicago
2025-02-24,11.8,53.8,9.33,Chicago
2025-02-25,11.8,53.8,9.33,Chicago
2025-02-26,11.8,53.8,9.33,Chicago
2025-02-27,11.8,53.8,9.33,Chicago
2025-02-28,11.8,53.8,9.33,Chicago
2025-03-01,11.8,53.8,9.33,Chicago
2025-03-02,11.8,53.8,9.33,Chicago
2025-03-03,11.8,53.8,9.33,Chicago
2025-03-04,11.8,53.8,9.33,Chicago
2025-03-05,11.8,53.8,9.33,Chicago
2025-03-06,11.8,53.8,9.33,Chicago
2025-03-07,11.8,53.7,9.33,Chicago
2025-03-08,11.8,53.7,9.33,Chicago
2025-03-09,11.8,53.7,9.33,Chicago
2025-02-03,12.2,53.5,9.54,Seattle
2025-02-04,12.2,53.5,9.57,Seattle
2025-02-05,12.2,53.5,9.59,Seattle
2025-02-06,12.2,53.5,9.61,Seattle
2025-02-07,12.2,53.5,9.63,Seattle
2025-02-08,12.2,53.5,9.65,Seattle
2025-02-09,12.2,53.5,9.66,Seattle
2025-02-10,12.2,53.5,9.68,Seattle
2025-02-11,12.2,53.5,9.7,Seattle
2025-02-12,12.2,53.5,9.71,Seattle
2025-02-13,12.2,53.5,9.72,Seattle
2025-02-14,12.2,53.5,9.74,Seattle
2025-02-15,12.2,53.5,9.75,Seattle
2025-02-16,12.2,53.5,9.76,Seattle
2025-02-17,12.2,53.5,9.77,Seattle
2025-02-18,12.2,53.5,9.78,Seattle
2025-02-19,12.2,53.5,9.79,Seattle
2025-02-20,12.2,53.5,9.8,Seattle
2025-02-21,12.2,53.5,9.81,Seattle
2025-02-22,12.2,53.5,9.81,Seattle
2025-02-23,12.2,53.5,9.82,Seattle
2025-02-24,12.2,53.5,9.83,Seattle
2025-02-25,12.2,53.5,9.83,Seattle
2025-02-26,12.2,53.5,9.84,Seattle
2025-02-27,12.2,53.5,9.84,Seattle
2025-02-28,12.2,53.5,9.85,Seattle
2025-03-01,12.2,53.5,9.85,Seattle
2025-03-02,12.2,53.5,9.86,Seattle
2025-03-03,12.2,53.5,9.86,Seattle
2025-03-04,12.2,53.5,9.87,Seattle
2025-01-18,12,54.8,9.47,New York
2025-01-19,12,54.8,9.47,New York
2025-01-20,12,54.8,9.47,New York
2025-01-21,12,54.8,9.47,New York
2025-01-22,12,54.8,9.47,New York
2025-01-23,12,54.8,9.47,New York
2025-01-24,12,54.8,9.47,New York
2025-01-25,12,54.8,9.47,New York
2025-01-26,12,54.8,9.47,New York
2025-01-27,12,54.8,9.47,New York
2025-01-28,12,54.8,9.47,New York
2025-01-29,12,54.8,9.47,New York
2025-01-30,12,54.8,9.47,New York
2025-01-31,12,54.8,9.47,New York
2025-02-01,12,54.8,9.47,New York
2025-02-02,12,54.8,9.47,New York
2025-02-03,12,54.8,9.47,New York
2025-02-04,12,54.8,9.47,New York
2025-02-05,12,54.8,9.47,New York
2025-02-06,12,54.8,9.47,New York
2025-02-07,12,54.8,9.47,New York
2025-02-08,12,54.8,9.47,New York
2025-02-09,12,54.8,9.47,New York
2025-02-10,12,54.8,9.47,New York
2025-02-11,12,54.8,9.47,New York
2025-02-12,12,54.8,9.47,New York
2025-02-13,12,54.8,9.47,New York
2025-02-14,12,54.8,9.47,New York
2025-02-15,12,54.8,9.47,New York
2025-02-16,12,54.8,9.47,New York
2025-01-16,15.5,54.7,9.17,Los Angeles
2025-01-17,15.8,54.7,9.17,Los Angeles
2025-01-18,15.4,54.7,9.17,Los Angeles
2025-01-19,14.3,54.7,9.17,Los Angeles
2025-01-20,13.9,54.7,9.17,Los Angeles
2025-01-21,13.3,54.7,9.17,Los Angeles
2025-01-22,13,54.7,9.17,Los Angeles
2025-01-23,12.6,54.7,9.17,Los Angeles
2025-01-24,12.4,54.7,9.17,Los Angeles
2025-01-25,12.1,54.7,9.17,Los Angeles
2025-01-26,12,54.7,9.17,Los Angeles
2025-01-27,11.9,54.7,9.17,Los Angeles
2025-01-28,11.7,54.7,9.17,Los Angeles
2025-01-29,11.7,54.7,9.17,Los Angeles
2025-01-30,11.6,54.7,9.17,Los Angeles
2025-01-31,11.5,54.7,9.17,Los Angeles
2025-02-01,11.5,54.7,9.17,Los Angeles
2025-02-02,11.5,54.7,9.17,Los Angeles
2025-02-03,11.4,54.7,9.17,Los Angeles
2025-02-04,11.4,54.7,9.17,Los Angeles
2025-02-05,11.4,54.7,9.17,Los Angeles
2025-02-06,11.4,54.7,9.17,Los Angeles
2025-02-07,11.4,54.7,9.17,Los Angeles
2025-02-08,11.3,54.7,9.17,Los Angeles
2025-02-09,11.3,54.7,9.17,Los Angeles
2025-02-10,11.3,54.7,9.17,Los Angeles
2025-02-11,11.3,54.7,9.17,Los Angeles
2025-02-12,11.3,54.7,9.17,Los Angeles
2025-02-13,11.3,54.7,9.17,Los Angeles
2025-02-14,11.3,54.7,9.17,Los Angeles
2025-02-03,13.2,55.3,9.46,Denver
2025-02-04,13.2,55.3,9.46,Denver
2025-02-05,13.2,55.3,9.46,Denver
2025-02-06,13.2,55.3,9.46,Denver
2025-02-07,13.2,55.3,9.46,Denver
2025-02-08,13.2,55.3,9.46,Denver
2025-02-09,13.2,55.3,9.46,Denver
2025-02-10,13.2,55.3,9.46,Denver
2025-02-11,13.2,55.3,9.46,Denver
2025-02-12,13.2,55.3,9.46,Denver
2025-02-13,13.2,55.3,9.46,Denver
2025-02-14,13.2,55.3,9.46,Denver
2025-02-15,13.2,55.3,9.46,Denver
2025-02-16,13.2,55.3,9.46,Denver
2025-02-17,13.2,55.3,9.46,Denver
2025-02-18,13.2,55.3,9.46,Denver
2025-02-19,13.2,55.3,9.46,Denver
2025-02-20,13.2,55.3,9.46,Denver
2025-02-21,13.2,55.3,9.46,Denver
2025-02-22,13.2,55.3,9.46,Denver
2025-02-23,13.2,55.3,9.46,Denver
2025-02-24,13.2,55.3,9.46,Denver
2025-02-25,13.2,55.3,9.46,Denver
2025-02-26,13.2,55.3,9.46,Denver
2025-02-27,13.2,55.3,9.46,Denver
2025-02-28,13.2,55.3,9.46,Denver
2025-03-01,13.2,55.3,9.46,Denver
2025-03-02,13.2,55.3,9.46,Denver
2025-03-03,13.2,55.3,9.46,Denver
2025-03-04,13.2,55.3,9.46,Denver
2025-02-06,12.3,69.1,9.02,Dallas
2025-02-07,12.3,73.2,9.02,Dallas
2025-02-08,12.3,74.2,9.02,Dallas
2025-02-09,12.3,72.2,9.02,Dallas
2025-02-10,12.3,73.1,9.02,Dallas
2025-02-11,12.3,73.2,9.02,Dallas
2025-02-12,12.3,72.9,9.02,Dallas
2025-02-13,12.3,73.1,9.02,Dallas
2025-02-14,12.3,73.1,9.02,Dallas
2025-02-15,12.3,73,9.02,Dallas
2025-02-16,12.3,73,9.02,Dallas
2025-02-17,12.3,73,9.02,Dallas
2025-02-18,12.3,73,9.02,Dallas
2025-02-19,12.3,73,9.02,Dallas
2025-02-20,12.3,73,9.02,Dallas
2025-02-21,12.3,73,9.02,Dallas
2025-02-22,12.3,73,9.02,Dallas
2025-02-23,12.3,73,9.02,Dallas
2025-02-24,12.3,73,9.02,Dallas
2025-02-25,12.3,73,9.02,Dallas
2025-02-26,12.3,73,9.02,Dallas
2025-02-27,12.3,73,9.02,Dallas
2025-02-28,12.3,73,9.02,Dallas
2025-03-01,12.3,73,9.02,Dallas
2025-03-02,12.3,73,9.02,Dallas
2025-03-03,12.3,73,9.02,Dallas
2025-03-04,12.3,73,9.02,Dallas
2025-03-05,12.3,73,9.02,Dallas
2025-03-06,12.3,73,9.02,Dallas
2025-03-07,12.3,73,9.02,Dallas
2025-02-02,13.4,53.1,9.08,San Francisco
2025-02-03,13.4,54.2,9.08,San Francisco
2025-02-04,13.4,54.2,9.08,San Francisco
2025-02-05,13.4,54.2,9.08,San Francisco
2025-02-06,13.4,54.2,9.08,San Francisco
2025-02-07,13.4,54.2,9.08,San Francisco
2025-02-08,13.4,54.2,9.08,San Francisco
2025-02-09,13.4,54.2,9.08,San Francisco
2025-02-10,13.4,54.2,9.08,San Francisco
2025-02-11,13.4,54.2,9.08,San Francisco
2025-02-12,13.4,54.2,9.08,San Francisco
2025-02-13,13.4,54.2,9.08,San Francisco
2025-02-14,13.4,54.2,9.08,San Francisco
2025-02-15,13.4,54.2,9.08,San Francisco
2025-02-16,13.4,54.2,9.08,San Francisco
2025-02-17,13.4,54.2,9.08,San Francisco
2025-02-18,13.4,54.2,9.08,San Francisco
2025-02-19,13.4,54.2,9.08,San Francisco
2025-02-20,13.4,54.2,9.08,San Francisco
2025-02-21,13.4,54.2,9.08,San Francisco
2025-02-22,13.4,54.2,9.08,San Francisco
2025-02-23,13.4,54.2,9.08,San Francisco
2025-02-24,13.4,54.2,9.08,San Francisco
2025-02-25,13.4,54.2,9.08,San Francisco
2025-02-26,13.4,54.2,9.08,San Francisco
2025-02-27,13.4,54.2,9.08,San Francisco
2025-02-28,13.4,54.2,9.08,San Francisco
2025-03-01,13.4,54.2,9.08,San Francisco
2025-03-02,13.4,54.2,9.08,San Francisco
2025-03-03,13.4,54.2,9.08,San Francisco
2025-01-31,10,54.7,9.8,Phoenix
2025-02-01,10,54.7,9.8,Phoenix
2025-02-02,10,54.7,9.8,Phoenix
2025-02-03,10,54.7,9.8,Phoenix
2025-02-04,10,54.7,9.8,Phoenix
2025-02-05,10,54.7,9.8,Phoenix
2025-02-06,10,54.7,9.8,Phoenix
2025-02-07,10,54.7,9.8,Phoenix
2025-02-08,10,54.7,9.8,Phoenix
2025-02-09,10,54.7,9.8,Phoenix
2025-02-10,10,54.7,9.8,Phoenix
2025-02-11,10,54.7,9.8,Phoenix
2025-02-12,10,54.7,9.8,Phoenix
2025-02-13,10,54.7,9.8,Phoenix
2025-02-14,10,54.7,9.8,Phoenix
2025-02-15,10,54.7,9.8,Phoenix
2025-02-16,10,54.7,9.8,Phoenix
2025-02-17,10,54.7,9.8,Phoenix
2025-02-18,10,54.7,9.8,Phoenix
2025-02-19,10,54.7,9.8,Phoenix
2025-02-20,10,54.7,9.8,Phoenix
2025-02-21,10,54.7,9.8,Phoenix
2025-02-22,10,54.7,9.8,Phoenix
2025-02-23,10,54.7,9.8,Phoenix
2025-02-24,10,54.7,9.8,Phoenix
2025-02-25,10,54.7,9.8,Phoenix
2025-02-26,10,54.7,9.8,Phoenix
2025-02-27,10,54.7,9.8,Phoenix
2025-02-28,10,54.7,9.8,Phoenix
2025-03-01,10,54.7,9.8,Phoenix
